AoA,Cd,Cl,AoA (rads),Cos,Sin
,,,,,
,,,,,
,,,,,
-1,,,-0.01745329252,0.9998476952,-0.01745240644
0,8.90E-03,-1.96E-04,0,1,0
1,8.95E-03,1.12E-01,0.01745329252,0.9998476952,0.01745240644
2,9.05E-03,2.24E-01,0.03490658504,0.999390827,0.0348994967
4,9.40E-03,4.49E-01,0.06981317008,0.9975640503,0.06975647374
5,9.68E-03,5.61E-01,0.0872664626,0.9961946981,0.08715574275
7,1.07E-02,7.82E-01,0.1221730476,0.9925461516,0.1218693434
8,1.16E-02,8.51E-01,0.1396263402,0.9902680687,0.139173101
10,1.32E-02,1.07E+00,0.1745329252,0.984807753,0.1736481777
11,1.73E-02,1.15E+00,0.1919862177,0.9816271834,0.1908089954
12,2.12E-02,1.22E+00,0.2094395102,0.9781476007,0.2079116908
13,2.63E-02,1.26E+00,0.2268928028,0.9743700648,0.2249510543
13.25,2.77E-02,1.27E+00,0.2312561259,0.9733792585,0.2292003909
13.5,2.93E-02,1.27E+00,0.235619449,0.9723699204,0.2334453639
13.75,3.07E-02,1.26E+00,0.2399827721,0.9713420698,0.2376858923
14,3.25E-02,1.26E+00,0.2443460953,0.9702957263,0.2419218956
14.25,3.28E-02,1.23E+00,0.2487094184,0.9692309097,0.246153293
14.5,3.19E-02,1.22E+00,0.2530727415,0.9681476404,0.2503800041
14.75,3.61E-02,1.19E+00,0.2574360647,0.9670459389,0.2546019482
15,4.50E-02,1.22E+00,0.2617993878,0.9659258263,0.2588190451
16,9.71E-02,9.63E-01,0.2792526803,0.9612616959,0.2756373558